transaction_id,transaction_date,reporting_month,transaction_type,cost_centre,actual_amount,budget_amount,source_file
TXN-00001,2026-01-02,2026-01,Revenue,Operations,20131,18481.71,finance_2026_01.csv
TXN-00002,2026-01-23,2026-01,Revenue,People,13321,13075.03,finance_2026_01.csv
TXN-00003,2026-01-06,2026-01,Revenue,Technology,13485,14019.85,finance_2026_01.csv
TXN-00004,2026-01-21,2026-01,Revenue,Technology,23698,23008.29,finance_2026_01.csv
TXN-00005,2026-01-04,2026-01,Revenue,Sales & Marketing,24768,24117.64,finance_2026_01.csv
TXN-00006,2026-01-08,2026-01,Revenue,People,18608,17097.11,finance_2026_01.csv
TXN-00007,2026-01-24,2026-01,Revenue,Operations,11543,10614.55,finance_2026_01.csv
TXN-00008,2026-01-02,2026-01,Revenue,Operations,17394,16155.45,finance_2026_01.csv
TXN-00009,2026-01-17,2026-01,Revenue,People,14671,13554.63,finance_2026_01.csv
TXN-00010,2026-01-15,2026-01,Revenue,People,22549,22312.73,finance_2026_01.csv
TXN-00011,2026-01-16,2026-01,Revenue,General & Admin,15694,15857.16,finance_2026_01.csv
TXN-00012,2026-01-25,2026-01,Revenue,Sales & Marketing,18549,18083.16,finance_2026_01.csv
TXN-00013,2026-01-16,2026-01,Revenue,Technology,14197,14577.33,finance_2026_01.csv
TXN-00014,2026-01-23,2026-01,Revenue,Sales & Marketing,19917,20197.83,finance_2026_01.csv
TXN-00015,2026-01-17,2026-01,Revenue,Technology,13723,13686.8,finance_2026_01.csv
TXN-00016,2026-01-22,2026-01,Revenue,People,21051,20430.21,finance_2026_01.csv
TXN-00017,2026-01-14,2026-01,Revenue,Sales & Marketing,9864,9137.42,finance_2026_01.csv
TXN-00018,2026-01-21,2026-01,Revenue,General & Admin,19751,19459.79,finance_2026_01.csv
TXN-00019,2026-01-18,2026-01,Revenue,Operations,25460,25741.83,finance_2026_01.csv
TXN-00020,2026-01-27,2026-01,Revenue,Technology,25459,24605.04,finance_2026_01.csv
TXN-00021,2026-01-26,2026-01,Revenue,People,21441,19691.98,finance_2026_01.csv
TXN-00022,2026-01-09,2026-01,Revenue,People,19704,20217.16,finance_2026_01.csv
TXN-00023,2026-01-05,2026-01,Revenue,People,20796,19344.76,finance_2026_01.csv
TXN-00024,2026-01-14,2026-01,Revenue,General & Admin,25346,24400.77,finance_2026_01.csv
TXN-00025,2026-01-05,2026-01,Revenue,People,21411,20334.18,finance_2026_01.csv
TXN-00026,2026-01-18,2026-01,Revenue,Technology,20521,19721.81,finance_2026_01.csv
TXN-00027,2026-01-20,2026-01,Revenue,People,16981,16698.45,finance_2026_01.csv
TXN-00028,2026-01-17,2026-01,Revenue,General & Admin,16133,16276.49,finance_2026_01.csv
TXN-00029,2026-01-11,2026-01,Revenue,General & Admin,14032,13651.72,finance_2026_01.csv
TXN-00030,2026-01-16,2026-01,Revenue,General & Admin,14070,13875.52,finance_2026_01.csv
TXN-00031,2026-01-10,2026-01,Revenue,General & Admin,19379,18588.36,finance_2026_01.csv
TXN-00032,2026-01-02,2026-01,Revenue,Operations,14501,13821.4,finance_2026_01.csv
TXN-00033,2026-01-18,2026-01,Revenue,General & Admin,12629,11927.41,finance_2026_01.csv
TXN-00034,2026-01-03,2026-01,Revenue,Sales & Marketing,18168,17171.05,finance_2026_01.csv
TXN-00035,2026-01-19,2026-01,Revenue,Operations,22930,22348.75,finance_2026_01.csv
TXN-00036,2026-01-20,2026-01,Revenue,Operations,9395,9494.95,finance_2026_01.csv
TXN-00037,2026-01-17,2026-01,Revenue,Technology,19910,18817.08,finance_2026_01.csv
TXN-00038,2026-01-17,2026-01,Revenue,People,17797,18241.48,finance_2026_01.csv
TXN-00039,2026-01-14,2026-01,Revenue,Sales & Marketing,17071,15928.18,finance_2026_01.csv
TXN-00040,2026-01-11,2026-01,Revenue,Technology,16363,15827.25,finance_2026_01.csv
TXN-00041,2026-01-20,2026-01,Revenue,Technology,13707,14238.95,finance_2026_01.csv
TXN-00042,2026-01-13,2026-01,Revenue,Operations,15045,13804.3,finance_2026_01.csv
TXN-00043,2026-01-09,2026-01,Revenue,General & Admin,14416,14771.57,finance_2026_01.csv
TXN-00044,2026-01-04,2026-01,Revenue,Technology,18738,19279.41,finance_2026_01.csv
